qv_bl,inv,delt,delq,na,baut
1.052783887269344376e+01,9.122500000000000000e+02,1.164164912999547141e+01,-6.374612006719557300e+00,1.490387116532888285e+02,-1.790000000000000036e+00
8.033558117109775409e+00,1.148750000000000000e+03,4.965065568392617479e+00,-1.936100170040390367e+00,2.166757880220849017e+02,-1.358336746353520086e+00
8.938649629518392814e+00,9.837500000000000000e+02,7.304694818001678414e+00,-3.548028859147610348e+00,2.935540356187412954e+02,-1.403726220291170002e+00
9.682333005164394990e+00,9.232500000000000000e+02,1.220590791480930193e+01,-4.281387694689008150e+00,1.391534266993565723e+02,-1.574849870520939943e+00
9.985180008779575900e+00,7.967500000000000000e+02,6.579752632277916291e+00,-3.043739735475335273e+00,9.296045055125097178e+01,-1.418765752960629900e+00
9.503215793853536653e+00,1.055250000000000000e+03,1.033190875714979029e+01,-6.253635943225093641e+00,1.769108602034619366e+02,-1.688225973291219928e+00
9.142707789676997265e+00,1.137750000000000000e+03,6.714473333645344155e+00,-2.009963511452565577e+00,2.648637639445665286e+02,-1.621249014918229925e+00
1.050689511882451477e+01,6.381588853902871961e+02,6.412739333849856393e+00,-3.018800858893639472e+00,6.768247150418632430e+01,-1.760110122896229923e+00
1.041597730454916437e+01,8.737500000000000000e+02,5.616384000240941532e+00,-4.719903103957243218e+00,1.728259818342309586e+02,-1.908904388336770008e+00
1.098606243866206000e+01,6.700300351637217773e+02,1.609904675681679009e+01,-4.795101409266337988e+00,2.687353814888068086e+02,-1.422466768685550109e+00
1.032517201465742573e+01,1.110250000000000000e+03,1.281393427102131000e+01,-6.912067017743209973e+00,1.582424527894613675e+02,-1.322885280578290024e+00
8.692498368534963049e+00,1.115750000000000000e+03,1.391507216050888474e+01,-7.103257001948313665e+00,3.352813261447124660e+01,-1.533280762972689892e+00
1.032960425736135335e+01,8.462500000000000000e+02,7.358150641956058280e+00,-6.103777182339017671e+00,1.701271776123336394e+02,-1.484068098125919999e+00
9.245416437768449569e+00,1.110250000000000000e+03,8.085731972411167590e+00,-2.487907072557207222e+00,4.362015735323020635e+02,-1.312114998727760051e+00
1.179495737511630260e+01,4.679197970456754092e+02,9.145099667718227465e+00,-2.588511438051108726e+00,3.961701123338301045e+02,-1.390063450909539977e+00
1.039846428915517151e+01,1.198250000000000000e+03,9.402427448311527769e+00,-5.899744764794923491e+00,4.463462691375630698e+02,-1.802159205674400022e+00
9.381566710065413872e+00,9.342500000000000000e+02,5.279796668153039718e+00,-2.594054314300914044e+00,1.592527213679758233e+02,-2.020209405083900123e+00
1.084493659208804317e+01,1.011250000000000000e+03,6.227132266639841873e+00,-4.016481708455832411e+00,2.514261713573036729e+02,-1.430037823323240032e+00
1.109145993944481745e+01,1.038750000000000000e+03,9.797550185809711820e+00,-5.011470834711608369e+00,3.853700976107711540e+02,-1.523976103859999931e+00
8.550229311798608123e+00,1.077250000000000000e+03,6.092973693348767483e+00,-4.249069189844941086e+00,3.163614935281500493e+02,-1.659719665216289997e+00
9.865369874363533853e+00,1.280750000000000000e+03,1.449986820150792255e+01,-4.134616142299842423e+00,1.230959486492613451e+02,-1.558019408333600087e+00
1.102126811561716302e+01,6.642763052114300990e+02,6.650084198308093164e+00,-3.285241086201422966e+00,1.020841146241700841e+02,-1.673413556236930111e+00
9.747431185770368600e+00,9.452500000000000000e+02,1.817907740794049687e+01,-4.006131526869223691e+00,1.497958885239960694e+02,-1.367907827105460106e+00
1.019120338413935656e+01,9.342500000000000000e+02,1.558228553792628190e+01,-4.520278106867201551e+00,3.831648781817477243e+02,-1.476597752719029932e+00
1.074402003844021891e+01,7.912500000000000000e+02,1.485584430281159030e+01,-7.076234499658425214e+00,2.855453446184797599e+02,-1.441756692994750066e+00
9.561553790914187445e+00,1.181750000000000000e+03,1.366142121583544622e+01,-2.276909342361384425e+00,2.556038243512385861e+02,-1.504480041017320024e+00
