bl_qv,bl_z,delta_theta,delta_qv,n_a,baut
1.052783887269344376e+01,9.122500000000000000e+02,1.164164912999547141e+01,-6.374612006719557300e+00,1.490387116532888285e+02,-1.790000000000000036e+00
nan,nan,nan,nan,nan,-1.680354982465130043e+00
nan,nan,nan,nan,nan,-1.349427644160640094e+00
1.351502721695462306e+01,4.862040363003622474e+02,9.464983005563283314e+00,-5.535757029374077653e+00,1.788022819552434726e+02,-1.932485360180590028e+00
1.059755752025784759e+01,9.122500000000000000e+02,5.431351698240064252e+00,-2.195720607925043311e+00,4.537561231926228515e+02,-2.231373116016159841e+00
1.042909161697918208e+01,1.209250000000000000e+03,2.095053638086625369e+01,-6.821095371274202179e+00,4.767017223409591793e+02,-1.334568834599989984e+00
nan,nan,nan,nan,nan,-1.975171886640890051e+00
nan,nan,nan,nan,nan,-1.344099693210150104e+00
8.033558117109775409e+00,1.148750000000000000e+03,4.965065568392617479e+00,-1.936100170040390367e+00,2.166757880220849017e+02,-1.358336746353520086e+00
1.023590183002641396e+01,7.032497671600564217e+02,4.939373734788091497e+00,-2.940206416913983212e+00,1.533238235315699853e+02,-1.586427919514769913e+00
8.938649629518392814e+00,9.837500000000000000e+02,7.304694818001678414e+00,-3.548028859147610348e+00,2.935540356187412954e+02,-1.403726220291170002e+00
1.145169265993171237e+01,7.802500000000000000e+02,8.340780474036080250e+00,-8.245631038201567620e+00,2.083474880842740049e+02,-1.773358176045040091e+00
9.682333005164394990e+00,9.232500000000000000e+02,1.220590791480930193e+01,-4.281387694689008150e+00,1.391534266993565723e+02,-1.574849870520939943e+00
9.985180008779575900e+00,7.967500000000000000e+02,6.579752632277916291e+00,-3.043739735475335273e+00,9.296045055125097178e+01,-1.418765752960629900e+00
1.025748666068511028e+01,7.472500000000084128e+02,1.260947701062985971e+01,-4.227581253763909253e+00,3.000244631903618711e+02,-1.627720169474470069e+00
9.503215793853536653e+00,1.055250000000000000e+03,1.033190875714979029e+01,-6.253635943225093641e+00,1.769108602034619366e+02,-1.688225973291219928e+00
nan,nan,nan,nan,nan,-1.605680124453549906e+00
1.064431243800232174e+01,6.220768716260092788e+02,8.936503254214983372e+00,-3.626772474218279640e+00,2.516936683244213384e+02,-1.380007179113849958e+00
9.456497841599230014e+00,8.792500000000000000e+02,5.857976805797591169e+00,-4.086122500915554845e+00,2.132741262708587442e+02,-1.861038772928339968e+00
9.638750682234400458e+00,9.122500000000000000e+02,4.804529925509370969e+00,-1.732237933203292002e+00,3.637622760967603881e+02,-1.550655209107560051e+00
